Country Name,Export Value 2013-2017,Export Weight 2013-2017,Import Value 2013-2017,Import Weight 2013-2017,Balance 2013-2017,Export Value 2017-2022,Export Weight 2017-2022,Import Value 2017-2022,Import Weight 2017-2022,Balance 2017-2022,Export Value Total,Export Weight Total,Import Value Total,Import Weight Total,Balance Total
Panama,7830900.0,4001811941.0,1562771.0,1151213191.0,6268129.0,11562545.0,4683012969.0,1883029.0,2092838091.0,9679516.0,19393445.0,8684824910.0,3445800.0,3244051282.0,15947645.0
Uzbekistan,10223117.0,1753933571.0,109775.0,67940517.0,10113342.0,7392659.0,1329262787.0,135488.0,71415974.0,7257171.0,17615776.0,3083196358.0,245263.0,139356491.0,17370513.0
New Zealand,10013064.0,9096048499.0,7259086.0,12421348502.0,2753978.0,7094471.0,5869248390.0,6459150.0,16272510866.0,635321.0,17107535.0,14965296889.0,13718236.0,28693859368.0,3389299.0
Egypt,7784867.0,3101125731.0,3277605.0,5572013479.0,4507262.0,9171164.0,2753214285.0,1918057.0,2638503246.0,7253107.0,16956031.0,5854340016.0,5195662.0,8210516725.0,11760369.0
Chile,6972954.0,10127935360.0,23638498.0,12072576565.0,-16665544.0,9425171.0,8250719568.0,21377925.0,13058496440.0,-11952754.0,16398125.0,18378654928.0,45016423.0,25131073005.0,-28618298.0
Slovenia,7492099.0,2780165572.0,586463.0,99046703.0,6905636.0,8273988.0,2426827653.0,543718.0,363574372.0,7730270.0,15766087.0,5206993225.0,1130181.0,462621075.0,14635906.0
Iraq,6928786.0,1459726738.0,36647360.0,75808643634.0,-29718574.0,8100021.0,1351962102.0,33620811.0,77341413759.0,-25520790.0,15028807.0,2811688840.0,70268171.0,153150057393.0,-55239364.0
Israel,8245407.0,1309742400.0,6453808.0,1056767130.0,1791599.0,6411520.0,1306921850.0,4718068.0,853345727.0,1693452.0,14656927.0,2616664250.0,11171876.0,1910112857.0,3485051.0
Greece,6743317.0,2682554086.0,4139774.0,5842236858.0,2603543.0,7590907.0,3090473318.0,1552560.0,2216217687.0,6038347.0,14334224.0,5773027404.0,5692334.0,8058454545.0,8641890.0
Bangladesh,7546785.0,5163545282.0,2373015.0,288175407.0,5173770.0,6306675.0,7411162681.0,1591919.0,234138340.0,4714756.0,13853460.0,12574707963.0,3964934.0,522313747.0,9888526.0
Malta,8480824.0,3180985630.0,490746.0,138060713.0,7990078.0,5320062.0,1925128625.0,1737308.0,1850775591.0,3582754.0,13800886.0,5106114255.0,2228054.0,1988836304.0,11572832.0
South Africa,4655690.0,1774629946.0,12624730.0,51546125780.0,-7969040.0,7355805.0,2426756152.0,8409678.0,35872994006.0,-1053873.0,12011495.0,4201386098.0,21034408.0,87419119786.0,-9022913.0
Bahamas,6406898.0,1460644627.0,371.0,801557.0,6406527.0,5316637.0,1787118109.0,34800.0,68431820.0,5281837.0,11723535.0,3247762736.0,35171.0,69233377.0,11688364.0
Kazakhstan,7876641.0,728506141.0,11325720.0,15784001725.0,-3449079.0,3332787.0,613298555.0,2398530.0,2325641094.0,934257.0,11209428.0,1341804696.0,13724250.0,18109642819.0,-2514822.0
Bermuda,2759455.0,1033864542.0,388.0,572583.0,2759067.0,8011348.0,1130779367.0,28.0,5076.0,8011320.0,10770803.0,2164643909.0,416.0,577659.0,10770387.0
Nigeria,4043550.0,3165092683.0,5289296.0,7855528440.0,-1245746.0,6217697.0,4686212253.0,7551668.0,10393562050.0,-1333971.0,10261247.0,7851304936.0,12840964.0,18249090490.0,-2579717.0
Colombia,4586054.0,1543607896.0,3755415.0,20828035106.0,830639.0,5647577.0,2589937921.0,2221756.0,7877929411.0,3425821.0,10233631.0,4133545817.0,5977171.0,28705964517.0,4256460.0
Kuwait,3619788.0,1058430243.0,50049091.0,97804468616.0,-46429303.0,6601857.0,2012136621.0,61446714.0,118319709565.0,-54844857.0,10221645.0,3070566864.0,111495805.0,216124178181.0,-101274160.0
Sweden,5975751.0,1073747322.0,9318691.0,1344735109.0,-3342940.0,4142884.0,814987046.0,8370810.0,1275630559.0,-4227926.0,10118635.0,1888734368.0,17689501.0,2620365668.0,-7570866.0
Denmark,3236554.0,877874564.0,4747394.0,808881096.0,-1510840.0,6752746.0,2480384494.0,4367670.0,1016467219.0,2385076.0,9989300.0,3358259058.0,9115064.0,1825348315.0,874236.0
Austria,5729689.0,233772395.0,9128253.0,988514845.0,-3398564.0,4226466.0,285323585.0,6610537.0,1124438532.0,-2384071.0,9956155.0,519095980.0,15738790.0,2112953377.0,-5782635.0
Pakistan,5669351.0,3069623752.0,1840298.0,2073720011.0,3829053.0,4214457.0,2845230447.0,1808944.0,1615983241.0,2405513.0,9883808.0,5914854199.0,3649242.0,3689703252.0,6234566.0
Peru,3603392.0,3295874254.0,13845540.0,11888219251.0,-10242148.0,6117961.0,5807539679.0,7978924.0,6139429675.0,-1860963.0,9721353.0,9103413933.0,21824464.0,18027648926.0,-12103111.0
Algeria,2335550.0,458409185.0,9889958.0,16174893815.0,-7554408.0,5595856.0,1017362517.0,4619274.0,6895869809.0,976582.0,7931406.0,1475771702.0,14509232.0,23070763624.0,-6577826.0
Jordan,3011717.0,676304978.0,485986.0,164966486.0,2525731.0,4817031.0,1069720140.0,344751.0,273236521.0,4472280.0,7828748.0,1746025118.0,830737.0,438203007.0,6998011.0
Togo,5999878.0,9422847841.0,240157.0,228079856.0,5759721.0,1640875.0,3433016602.0,165540.0,402617735.0,1475335.0,7640753.0,12855864443.0,405697.0,630697591.0,7235056.0
Switzerland,3630785.0,109049881.0,15370026.0,298637651.0,-11739241.0,3716778.0,334860455.0,13010277.0,407542183.0,-9293499.0,7347563.0,443910336.0,28380303.0,706179834.0,-21032740.0
Oman,2669469.0,1560110569.0,15934011.0,26645633618.0,-13264542.0,4374847.0,1786801499.0,16969532.0,27242057334.0,-12594685.0,7044316.0,3346912068.0,32903543.0,53887690952.0,-25859227.0
Argentina,2128887.0,647194258.0,6560566.0,17727363844.0,-4431679.0,4507117.0,1363413449.0,3840633.0,9364545795.0,666484.0,6636004.0,2010607707.0,10401199.0,27091909639.0,-3765195.0
Ecuador,3170849.0,2093853012.0,875697.0,804175156.0,2295152.0,3415853.0,1463868350.0,858665.0,1026668796.0,2557188.0,6586702.0,3557721362.0,1734362.0,1830843952.0,4852340.0
Ireland,4036238.0,202480182.0,6092183.0,232331441.0,-2055945.0,2456771.0,339683021.0,5134341.0,195740322.0,-2677570.0,6493009.0,542163203.0,11226524.0,428071763.0,-4733515.0
Angola,696857.0,549322382.0,415521.0,1036093657.0,281336.0,5791833.0,5369528305.0,800389.0,1684707011.0,4991444.0,6488690.0,5918850687.0,1215910.0,2720800668.0,5272780.0
Cambodia,3189689.0,1277720443.0,1718906.0,191596204.0,1470783.0,3098530.0,1075581757.0,1047933.0,168825435.0,2050597.0,6288219.0,2353302200.0,2766839.0,360421639.0,3521380.0
Myanmar,2526837.0,953651123.0,2672485.0,328364865.0,-145648.0,3499026.0,956916597.0,2495345.0,327467649.0,1003681.0,6025863.0,1910567720.0,5167830.0,655832514.0,858033.0
Libya,2188607.0,1138053483.0,678239.0,984862367.0,1510368.0,3498751.0,898088855.0,2370837.0,3852401007.0,1127914.0,5687358.0,2036142338.0,3049076.0,4837263374.0,2638282.0
Qatar,2169082.0,753540028.0,65070590.0,106611057798.0,-62901508.0,3401780.0,707000042.0,89420059.0,140088424710.0,-86018279.0,5570862.0,1460540070.0,154490649.0,246699482508.0,-148919787.0
Portugal,3203128.0,1203476427.0,1934974.0,224049494.0,1268154.0,2247957.0,1031897484.0,1091572.0,193349520.0,1156385.0,5451085.0,2235373911.0,3026546.0,417399014.0,2424539.0
Romania,2664137.0,757816438.0,2805943.0,1637080420.0,-141806.0,2567223.0,1031835739.0,2992174.0,1887301449.0,-424951.0,5231360.0,1789652177.0,5798117.0,3524381869.0,-566757.0
Cyprus,1884417.0,397199689.0,232180.0,371834937.0,1652237.0,1672858.0,315158241.0,1725856.0,2170951517.0,-52998.0,3557275.0,712357930.0,1958036.0,2542786454.0,1599239.0
Ukraine,1882342.0,502947761.0,2482266.0,8133483733.0,-599924.0,1648578.0,435505772.0,2879767.0,10860604427.0,-1231189.0,3530920.0,938453533.0,5362033.0,18994088160.0,-1831113.0
Finland,1768908.0,266350249.0,5362970.0,1056851202.0,-3594062.0,1628629.0,245994547.0,5617530.0,1226676081.0,-3988901.0,3397537.0,512344796.0,10980500.0,2283527283.0,-7582963.0
Morocco,1592634.0,601813230.0,996640.0,1043483809.0,595994.0,1768788.0,402065114.0,902223.0,1036075962.0,866565.0,3361422.0,1003878344.0,1898863.0,2079559771.0,1462559.0
Mozambique,2918723.0,523053519.0,1369626.0,5775254579.0,1549097.0,363889.0,436273345.0,230217.0,1436949907.0,133672.0,3282612.0,959326864.0,1599843.0,7212204486.0,1682769.0
Mongolia,1680939.0,654696305.0,143225.0,40278681.0,1537714.0,1429016.0,580319855.0,121240.0,85307985.0,1307776.0,3109955.0,1235016160.0,264465.0,125586666.0,2845490.0
Puerto Rico,1699521.0,182809725.0,1493802.0,127452042.0,205719.0,1359338.0,278508733.0,1041352.0,549257986.0,317986.0,3058859.0,461318458.0,2535154.0,676710028.0,523705.0
Guatemala,1368861.0,796674404.0,478438.0,467040359.0,890423.0,1641883.0,1321014585.0,893343.0,1037363364.0,748540.0,3010744.0,2117688989.0,1371781.0,1504403723.0,1638963.0
Lithuania,1509045.0,1544321004.0,490498.0,262968002.0,1018547.0,1244124.0,1289491747.0,314935.0,255187485.0,929189.0,2753169.0,2833812751.0,805433.0,518155487.0,1947736.0
Sri Lanka,1167292.0,516484303.0,585101.0,297774646.0,582191.0,1453630.0,608806654.0,435481.0,357158223.0,1018149.0,2620922.0,1125290957.0,1020582.0,654932869.0,1600340.0
Dominican Republic,1349993.0,318361713.0,508107.0,127068566.0,841886.0,1245453.0,371103730.0,517782.0,517000592.0,727671.0,2595446.0,689465443.0,1025889.0,644069158.0,1569557.0
Kenya,1325964.0,1029138844.0,253606.0,46306779.0,1072358.0,1226360.0,831362215.0,230281.0,42197589.0,996079.0,2552324.0,1860501059.0,483887.0,88504368.0,2068437.0
Ghana,1143604.0,832967855.0,186053.0,70000106.0,957551.0,1282966.0,2785919736.0,187680.0,97358592.0,1095286.0,2426570.0,3618887591.0,373733.0,167358698.0,2052837.0
Bahrain,1197608.0,292217258.0,3084247.0,4429367950.0,-1886639.0,1165486.0,337924555.0,2354994.0,3034854619.0,-1189508.0,2363094.0,630141813.0,5439241.0,7464222569.0,-3076147.0
Cayman Islands,368878.0,271856549.0,6261.0,25891960.0,362617.0,1870424.0,257240149.0,266.0,693.0,1870158.0,2239302.0,529096698.0,6527.0,25892653.0,2232775.0
Fiji,1118098.0,1564542604.0,53778.0,139199056.0,1064320.0,1062709.0,1740149087.0,30398.0,34379666.0,1032311.0,2180807.0,3304691691.0,84176.0,173578722.0,2096631.0
Croatia,862687.0,119778208.0,226774.0,81331689.0,635913.0,1215964.0,248870490.0,71350.0,25731667.0,1144614.0,2078651.0,368648698.0,298124.0,107063356.0,1780527.0
Isle of Man,72105.0,36295046.0,1127.0,104718.0,70978.0,1971752.0,1063592547.0,127.0,64155.0,1971625.0,2043857.0,1099887593.0,1254.0,168873.0,2042603.0
Republic of the Congo,205784.0,54178505.0,435402.0,806588477.0,-229618.0,1837076.0,87374369.0,478471.0,741699136.0,1358605.0,2042860.0,141552874.0,913873.0,1548287613.0,1128987.0
Tanzania,1004232.0,574215257.0,219247.0,56328810.0,784985.0,935605.0,582643462.0,221490.0,49793718.0,714115.0,1939837.0,1156858719.0,440737.0,106122528.0,1499100.0
Lebanon,590551.0,205129461.0,551815.0,54110955.0,38736.0,1322865.0,359037390.0,176936.0,61566875.0,1145929.0,1913416.0,564166851.0,728751.0,115677830.0,1184665.0
Syria,392767.0,218672973.0,1128.0,786147.0,391639.0,1486998.0,361184281.0,8285.0,5278404.0,1478713.0,1879765.0,579857254.0,9413.0,6064551.0,1870352.0
Costa Rica,769875.0,235491515.0,1181531.0,1087273379.0,-411656.0,1105496.0,300553928.0,980157.0,358295325.0,125339.0,1875371.0,536045443.0,2161688.0,1445568704.0,-286317.0
Guam,1058326.0,1039101387.0,24911.0,35132584.0,1033415.0,715175.0,579212873.0,11832.0,16831948.0,703343.0,1773501.0,1618314260.0,36743.0,51964532.0,1736758.0
Tunisia,853359.0,126918134.0,662475.0,369397813.0,190884.0,846185.0,155106855.0,523756.0,365149534.0,322429.0,1699544.0,282024989.0,1186231.0,734547347.0,513313.0
Uruguay,604815.0,130175041.0,823482.0,1009844988.0,-218667.0,1049896.0,422422923.0,473509.0,693921120.0,576387.0,1654711.0,552597964.0,1296991.0,1703766108.0,357720.0
Venezuela,134340.0,41429193.0,94512.0,70906171.0,39828.0,1503405.0,227746733.0,135473.0,305168935.0,1367932.0,1637745.0,269175926.0,229985.0,376075106.0,1407760.0
El Salvador,898430.0,721418303.0,292146.0,467381105.0,606284.0,709289.0,530938856.0,121856.0,198415354.0,587433.0,1607719.0,1252357159.0,414002.0,665796459.0,1193717.0
Yemen,595484.0,482710431.0,241350.0,190277634.0,354134.0,919656.0,682268220.0,4476252.0,7402402076.0,-3556596.0,1515140.0,1164978651.0,4717602.0,7592679710.0,-3202462.0
Paraguay,591650.0,101609791.0,344620.0,1294667906.0,247030.0,922066.0,161315623.0,369451.0,977569688.0,552615.0,1513716.0,262925414.0,714071.0,2272237594.0,799645.0
Sudan,692302.0,206733777.0,141858.0,184796198.0,550444.0,783400.0,199730537.0,204036.0,161529980.0,579364.0,1475702.0,406464314.0,345894.0,346326178.0,1129808.0
Bulgaria,830717.0,331054021.0,1389580.0,2074198872.0,-558863.0,617929.0,254850812.0,720046.0,880329710.0,-102117.0,1448646.0,585904833.0,2109626.0,2954528582.0,-660980.0
Serbia,1001951.0,49089984.0,860667.0,2423739433.0,141284.0,385416.0,26315629.0,395446.0,1352156819.0,-10030.0,1387367.0,75405613.0,1256113.0,3775896252.0,131254.0
Côte d'Ivoire,722038.0,315818864.0,50517.0,54464607.0,671521.0,665002.0,558916150.0,47018.0,18369660.0,617984.0,1387040.0,874735014.0,97535.0,72834267.0,1289505.0
Azerbaijan,513335.0,88998685.0,8365.0,1115999.0,504970.0,872508.0,121214144.0,8041.0,2291020.0,864467.0,1385843.0,210212829.0,16406.0,3407019.0,1369437.0
Kyrgyzstan,744732.0,179900147.0,2487.0,704611.0,742245.0,548894.0,174435072.0,11177.0,3129376.0,537717.0,1293626.0,354335219.0,13664.0,3833987.0,1279962.0
Honduras,627423.0,182996388.0,385877.0,216927354.0,241546.0,598972.0,125761227.0,249653.0,153212632.0,349319.0,1226395.0,308757615.0,635530.0,370139986.0,590865.0
Nicaragua,405015.0,78847983.0,236684.0,485743687.0,168331.0,753444.0,151712606.0,81073.0,173983907.0,672371.0,1158459.0,230560589.0,317757.0,659727594.0,840702.0
Luxembourg,158240.0,35212100.0,407028.0,46042257.0,-248788.0,998904.0,171595453.0,284601.0,69642304.0,714303.0,1157144.0,206807553.0,691629.0,115684561.0,465515.0
Senegal,470844.0,149477633.0,249270.0,77053030.0,221574.0,677308.0,852537345.0,313057.0,94959646.0,364251.0,1148152.0,1002014978.0,562327.0,172012676.0,585825.0
Turkmenistan,119310.0,18498356.0,197.0,143953.0,119113.0,1009035.0,200578209.0,456.0,150612.0,1008579.0,1128345.0,219076565.0,653.0,294565.0,1127692.0
Brunei,312789.0,153074456.0,1652062.0,3282895074.0,-1339273.0,795296.0,176367148.0,5701622.0,9514164458.0,-4906326.0,1108085.0,329441604.0,7353684.0,12797059532.0,-6245599.0
Ethiopia,511808.0,231611016.0,384510.0,81043793.0,127298.0,572770.0,212372816.0,250929.0,101529901.0,321841.0,1084578.0,443983832.0,635439.0,182573694.0,449139.0
Laos,344002.0,65579478.0,247070.0,186168722.0,96932.0,732072.0,114031498.0,109007.0,159977012.0,623065.0,1076074.0,179610976.0,356077.0,346145734.0,719997.0
British Virgin Islands,,,,,,1029367.0,162912792.0,3700.0,1382836.0,1025667.0,1029367.0,162912792.0,3700.0,1382836.0,1025667.0
Papua New Guinea,372367.0,274354584.0,3612398.0,3608998592.0,-3240031.0,639994.0,517995268.0,1048531.0,1336648330.0,-408537.0,1012361.0,792349852.0,4660929.0,4945646922.0,-3648568.0
Estonia,509361.0,100666493.0,382568.0,313919999.0,126793.0,478282.0,121141026.0,767437.0,636282515.0,-289155.0,987643.0,221807519.0,1150005.0,950202514.0,-162362.0
Georgia,488162.0,183087178.0,124759.0,9461103.0,363403.0,484911.0,155250463.0,103904.0,33161603.0,381007.0,973073.0,338337641.0,228663.0,42622706.0,744410.0
New Caledonia,272185.0,257009210.0,1629637.0,14954369749.0,-1357452.0,614261.0,864720538.0,1072106.0,12966555680.0,-457845.0,886446.0,1121729748.0,2701743.0,27920925429.0,-1815297.0
Trinidad and Tobago,337519.0,100091501.0,1324555.0,3357514289.0,-987036.0,532212.0,140125808.0,1032946.0,2434850623.0,-500734.0,869731.0,240217309.0,2357501.0,5792364912.0,-1487770.0
Palestine Liberation Organization,299085.0,29182036.0,7635.0,881989.0,291450.0,477763.0,51459749.0,5763.0,4263272.0,472000.0,776848.0,80641785.0,13398.0,5145261.0,763450.0
Latvia,323171.0,63449556.0,528380.0,1280257093.0,-205209.0,435054.0,74887769.0,307032.0,576730997.0,128022.0,758225.0,138337325.0,835412.0,1856988090.0,-77187.0
Other Countries,382538.0,420230591.0,17487311.0,1523932514.0,-17104773.0,290120.0,166089794.0,1681106.0,1084749189.0,-1390986.0,672658.0,586320385.0,19168417.0,2608681703.0,-18495759.0
French Polynesia,159421.0,76158623.0,4831.0,4237023.0,154590.0,503376.0,674952853.0,1026.0,517561.0,502350.0,662797.0,751111476.0,5857.0,4754584.0,656940.0
Cameroon,426069.0,301049281.0,336714.0,413662315.0,89355.0,173343.0,101749075.0,119486.0,285274713.0,53857.0,599412.0,402798356.0,456200.0,698937028.0,143212.0
Haiti,357417.0,69231172.0,17876.0,5223400.0,339541.0,241776.0,46317877.0,24091.0,12032703.0,217685.0,599193.0,115549049.0,41967.0,17256103.0,557226.0
Bolivia,181714.0,23962650.0,2388788.0,1406615038.0,-2207074.0,403191.0,70995498.0,1660449.0,1209627522.0,-1257258.0,584905.0,94958148.0,4049237.0,2616242560.0,-3464332.0
Djibouti,231791.0,178361817.0,14960.0,14691909.0,216831.0,336659.0,139693299.0,1070.0,866732.0,335589.0,568450.0,318055116.0,16030.0,15558641.0,552420.0
Afghanistan,217740.0,96739002.0,4006.0,5990286.0,213734.0,280152.0,105063706.0,546.0,244415.0,279606.0,497892.0,201802708.0,4552.0,6234701.0,493340.0
Macau,138043.0,12439483.0,14277.0,3146525.0,123766.0,337227.0,154868501.0,22204.0,3064436.0,315023.0,475270.0,167307984.0,36481.0,6210961.0,438789.0
Belarus,241980.0,34943866.0,238280.0,568895882.0,3700.0,216467.0,25493196.0,203263.0,485413607.0,13204.0,458447.0,60437062.0,441543.0,1054309489.0,16904.0
Cuba,158642.0,77362579.0,31951.0,10403253.0,126691.0,278112.0,35078705.0,36254.0,20147830.0,241858.0,436754.0,112441284.0,68205.0,30551083.0,368549.0
Madagascar,167412.0,75029108.0,391545.0,24870386.0,-224133.0,264118.0,172944218.0,434041.0,41906167.0,-169923.0,431530.0,247973326.0,825586.0,66776553.0,-394056.0
Iceland,262524.0,43453681.0,87465.0,20317035.0,175059.0,167280.0,26182980.0,139235.0,23286087.0,28045.0,429804.0,69636661.0,226700.0,43603122.0,203104.0
Guinea,166505.0,75932893.0,296090.0,117245417.0,-129585.0,258567.0,245771230.0,1075589.0,1186206715.0,-817022.0,425072.0,321704123.0,1371679.0,1303452132.0,-946607.0
Democratic Republic of the Congo,287049.0,78751885.0,3289499.0,474696196.0,-3002450.0,134421.0,52272145.0,1861917.0,400098294.0,-1727496.0,421470.0,131024030.0,5151416.0,874794490.0,-4729946.0
Mauritius,208892.0,57424638.0,34054.0,9397014.0,174838.0,195470.0,58148773.0,26489.0,11439167.0,168981.0,404362.0,115573411.0,60543.0,20836181.0,343819.0
Tajikistan,243082.0,131258182.0,760.0,62315.0,242322.0,146812.0,57453665.0,18582.0,10211181.0,128230.0,389894.0,188711847.0,19342.0,10273496.0,370552.0
Nepal,265293.0,34728676.0,15923.0,1097560.0,249370.0,122662.0,25590594.0,10025.0,654036.0,112637.0,387955.0,60319270.0,25948.0,1751596.0,362007.0
